Dane_Importar,Nombre_Municipio,Ano_Fecha,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,FA_FACT_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,PRR_INV,SJ_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,SJ_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,PRR_PRO,OPP_REG_PRO,PROT_TIER_HAS,GME_HAS,TOT_INV
44378,HATONUEVO,2012,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,0,3,22,957,121,291,82,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119.095,0,0,0,0,0,0,0,0,0,0,22.314.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.314.492,79.69,567.545,206.69,0,0,0,0,28.335,0,0,0,0,0,0,0,0,0,0,0,0,876.239.492,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,13,11,68,271,1956,625,0,0,0,48,198,1881,536,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
44378,HATONUEVO,2011,0,1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,2,77,1045,108,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.712,0,0,1.652.275,19.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.59,669.15,215.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,3840,0,8,170,269,2222,665,0,0,0,144,30,1881,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44378,HATONUEVO,2010,0,3,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,2,55,1157,101,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.972.504,0,0,106.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.6,82.22,857.545,245.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314.635,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,80,0,0,0,0,0,81,9,171,251,2536,745,0,0,0,144,30,1881,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44378,HATONUEVO,2013,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,779,675,0,0,0,0,263,0,0,0,276,599,232,0,752,0,675,1949,0,0,0,0,0,0,58.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.424.305,0,0,0,0,23.485,0,23.58,0,0,0,0,0,0,296.76,135.44,114.79,0,383.65,0,0,0,0,1.032.549.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659,0,0,0,0,0,595,0,2,0,48,0,1881,484,0,0,0,0,0,0,492,1165,551,0,0,0,5,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44420,LA JAGUA DEL PILAR,2012,0,0,33,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1,12,213,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.944,0,0,0,0,89.793.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.215,109.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.158.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,10,40,35,378,0,0,0,0,72,0,306,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44420,LA JAGUA DEL PILAR,2011,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,5,231,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.883.254,85.696,0,0,22.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,128.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.298.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,392,0,0,12,34,423,0,0,0,0,120,15,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44420,LA JAGUA DEL PILAR,2010,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,6,248,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.226.032,20.6,0,0,57.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,154.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.426.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,464,0,0,0,0,120,15,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44420,LA JAGUA DEL PILAR,2013,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,88,223,0,0,0,0,0,0,0,0,67,124,46,0,0,0,223,243,0,0,0,0,0,0,16.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.424.305,0,0,0,0,0,0,0,0,0,0,0,0,0,65.47,34.03,25.47,0,0,0,0,0,0,203.394.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,72,0,306,120,0,0,0,0,0,0,109,263,137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44430,MAICAO,2012,0,0,1177,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,300,0,4897,0,71,85,6469,567,2924,452,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,612.465,117.782.575,0,0,0,0,408.948,0,0,0,0,0,36.764.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.615.777,0,0,0,92.575.601,0,36.764.712,359.015,3.603.955,2.147.165,0,1.891.366.058,782.046,167.309.914,109.676.612,0,0,0,0,0,0,0,0,0,0,0,0,705.523.239,0,0,0,0,141,81,0,0,1,318,0,0,0,0,0,0,0,0,458,0,0,0,0,19878,400,358,386,1145,12330,7562,22,311,69,2280,198,17294,2934,27,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0
44430,MAICAO,2011,0,46,1149,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5027,0,63,95,7003,575,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,3.702.864,804.828.981,0,60.337.064,11.310.812,46.496,80.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.770.777,0,0,0,0,0,0,0,0,0,0,0,13.770.777,378.255,4214.87,2.326.795,0,292.081.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.031.056.481,0,0,0,0,140,0,0,0,0,0,0,0,0,40,0,57,0,0,1720,0,0,0,0,22588,97,220,341,1236,14257,8742,0,20,0,2616,210,17294,220,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
44430,MAICAO,2010,0,24,484,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,4561,0,55,88,7886,597,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,135.356.417,426.42,0,64.367.514,5.129.365,70.939.666,0,0,0,0,0,0,0,0,0,0.907894,0,355.925,0,148.982.577,0,0,155.2,0,0,0,0,0,0.148128,0,0,0,0,0,0,0,0,100,0,308.649.721,446.73,5488.59,2712.94,0,133.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925.678.178,0,0,0,0,150,1,0,1,0,316,0,0,97,0,0,0,0,0,2235,0,0,2,0,0,415,204,378,1279,16420,9232,0,12,0,2628,120,17062,220,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,9,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,271,0,0
44430,MAICAO,2013,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,4208,9324,0,0,0,0,2706,0,0,10,2414,6583,891,0,5195,0,9324,15849,0,0,0,0,0,57.638.938,423.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.424.305,0,0,0,0,236.47,0,306.147.457,2.358,0,784.035,0,0,0,3127.23,1120.71,433.76,0,2806.95,0,0,0,32,7.861.183.243,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,2173,0,0,0,0,21155,0,0,0,0,0,7267,0,80,2,2280,0,17294,3202,14,0,0,124,0,0,1767,12814,4705,0,0,0,33,12143,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44560,MANAURE,2012,0,0,120,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,320,0,572,0,0,6,880,74,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.086.675,0,0,0,0,453.094.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.198.333,0,0,51.355,556.54,1.560.765,0,23.422.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.705.952.621,0,0,0,0,0,0,0,0,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,207,0,24,169,1981,5592,0,4,0,444,66,13507,4016,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
44560,MANAURE,2011,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,150,0,642,0,1,24,921,59,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,50.832,21.424,0,0,1.267.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.75,5.488.064,0,0,40.455,604.93,1551.02,0,21.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.636.884,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,325,0,0,0,0,2854,105,1,99,131,2057,5863,0,3,0,744,60,13507,700,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
