Dane_Importar,Nombre_Municipio,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,FA_FACT_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,PRR_INV,SJ_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,SJ_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,PRR_PRO,OPP_REG_PRO,PROT_TIER_HAS,GME_HAS,TOT_INV
68820     ,TONA,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,319,1,5,158,21,0,21,0,1,54,304,20,0,0,0,319,394,0,0,0,52.736,0,0,31.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.207963,0,0,0,0,0,0,0,0,0,0,0,1.207963,36.14,212.3,0,0,33.9467,0,0,0,0,0,0,156.85,24.79,8.8,0,0,0,0,0,0,440.087963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1009,0,0,0,0,401,5,3,14,41,244,0,0,7,0,912,198,4768,114,0,0,0,0,0,0,38,530,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68855     ,VALLE DE SAN JOSÉ,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,461,0,8,406,8,0,0,0,10,77,397,11,0,0,0,461,503,0,0,0,0,0,0,8.551,0,0,0,0,0,0,0,0,0,0,55.298059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.298059,15.65,608.095,0,0,0,0,0,0,0,0,0,164.32,32.69,5.96,0,0,0,0,0,0,882.013059,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,511,51,0,25,15,755,0,0,0,0,880,0,2858,0,0,0,0,0,0,0,22,766,156,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
68861     ,VÉLEZ,0,2,204,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,132,791,5,10,724,66,0,0,0,0,20,1196,85,0,0,0,791,1356,0,0,0,31.312,0,0,162.315,0,0,0,0,201.89939,0,0,0,0,0,39.419148,0,0,0,237.859246,0,0,0,0,0,0,0,3.382296,0,0,0,0,0,0,0,0,0,0,0,280.66069,106.165,999.8,0,0,340.086078,0,0,14.575524,0,0,0,446.22,6.6,39.14,0,0,0,0,0,0,2080.48508,0,0,0,0,0,43,0,0,0,419,0,0,0,0,0,14,0,0,0,0,0,1,0,491,476,16,39,125,1241,0,0,75,0,2528,183,6949,353,4,0,0,0,0,0,159,2056,29,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,150,45.21,0
68867     ,VETAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,111,0,0,168,1,0,0,0,10,89,98,3,0,0,0,111,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,214.41,0,0,45.336,0,0,0,0,0,0,33.05,28.84,2.15,0,0,0,0,0,0,279.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,2,247,0,0,7,0,144,0,748,0,0,0,0,0,0,0,6,153,130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68872     ,VILLANUEVA,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,350,418,0,1,460,4,0,0,0,12,184,297,6,0,0,0,418,504,0,0,28.947327,0,0,0,8.3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.490054,0,0,0,5,0,0,7.48,644.03,0,0,11.334,0,22.668,22.668,0,0,0,123.23,67.88,3.29,0,0,0,0,0,0,1086.347381,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,211,0,1,8,799,0,2,2,0,1141,90,2552,0,1,0,0,0,0,0,9,555,319,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68895     ,ZAPATOCA,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,392,1,5,346,13,0,21,0,20,165,243,19,0,0,0,392,461,0,0,0,189.932,0,0,26.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.435,515.12,0,0,480.463612,0,0,29.277989,0,0,0,110.63,65.27,9.21,0,0,0,0,0,0,722.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,5,29,23,645,0,0,98,0,906,798,6510,259,5,0,0,0,0,0,39,522,325,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000     ,SUCRE (DP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2842.114339,0,0,0,0,0,0,0,0,0,0,0,2842.114339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70001     ,SINCELEJO,0,202,56453,4,545,1,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,17916,18073,50,2279,11579,8006,0,1676,0,894,5753,5167,9390,0,547,0,18073,24739,0,0,418.712887,3779.18316,2585.933707,912.298065,51424.4266,68.352,1.0712,0,0,0,0,0,0,0,0,139.368793,0,224.231239,0,520.098156,401.21204,453.035881,480,0,398.958811,0,0,0,30.110679,0,0,807.676092,0,15864.82161,0,0,0,544.903898,0,2616.904919,11799.27,17155.42,0,0,17480.03019,4.716,538.489009,284.835145,0,0,0,1971.48,2018.06,4386.48,0,246.48,0,493.8,0,0,61852.35186,0,0,0,0,500,171,0,62,2,1875,250,0,300,0,1284,0,0,0,28468,283,0,4,0,79273,3944,142,8612,13906,19317,0,67,3268,4,52798,2532,106660,11110,73,0,7359,245,49,0,16877,9714,9916,0,629,651,134,968,461,601,87,0,13,5,2,0,10,0,1,1,4,1,1,1,0,2,0,0,0,0,8,4,0,21,0,0,0,1,2,0,8,39.06,0,0
70110     ,BUENAVISTA,0,5,4420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,917,7,343,1245,131,0,180,0,19,830,328,275,0,0,0,917,1478,0,0,0,92.843046,0,0,3517.7125,0,0,0,0,0,0,0,0,0,0,0,0,7.1185,0,0,0,0,0,0,0,0,0,4.107074,0,0,0,0,0,0,0,0,0,0,0,11.225574,210.895,1758.245,0,0,201.847,0,0,0,0,0,0,161.36,369.38,134.33,0,0,0,0,0,0,2645.435574,0,0,0,0,0,0,0,2,0,173,0,0,0,0,0,17,0,0,0,0,0,0,0,5615,192,22,948,258,2162,0,0,30,0,3518,438,8824,0,0,0,0,0,0,0,551,626,1483,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
70124     ,CAIMITO,0,10,263,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,158,0,1162,1218,5,71,1530,25,0,168,0,56,793,871,166,0,0,0,1218,1890,0,0,0,191.992,0,0,218.2095,0,0,0,0,759.429579,0,0,0,0,0,81.394823,0,0,0,75.424456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.97282,0,156.819279,44.445,2372.665,0,0,122.718374,0,0,0,0,0,0,432.06,374.86,87.78,0,0,0,0,0,0,4272.031678,0,0,0,0,0,140,0,0,0,131,0,0,0,0,0,0,0,0,1679,0,0,1,0,5798,271,28,248,59,3088,0,0,31,0,4056,318,12500,498,0,0,0,0,0,0,377,1755,1622,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7.8,0,0
