Ano_Fecha,Nombre_Departamento,AFRO_FAM,AVVRA_FAM,AHE_FAM,AVV40_FAM,DESARRA_FAM,AVV2_FAM,DRPE_FAM,GI_PEE_FAM,FA_DES_FAM,FA_IND_FAM,FA_SIS_FAM,IRR_FAM,PFG_FAM,HAB_MH_FAM,HAB_RUR_FAM,LP_FAM,PDP_FAM,PP_FAM,RESA_FAM,RETOR_FAM,UNIDOS_FAM,FAM_BAN_FAM,EXPUL_FAM,RECEP_FAM,FASAN_SIS_FAM,FASAN_DES_FAM,FASAN_IND_FAM,ICBF_FAM_BIENE_FAM,GPDE_FAM,UNI_PROM_FAM,MFA_UNI_FAM,MFA_SIS_FAM,MFA_DES_FAM,GIV_FAM,MFA_IND_FAM,HAB_FAM,MFA_BAN_FAM,MFA_INS_FAM,GI_IRACA_FAM,ACT_PROS_INV,AVVRA_INV,DESARRA_INV,MUSICA_INV,AHE_INV,AVV40_INV,AVV2_INV,AFRO_INV,DRPE_INV,GI_PEE_INV,FA_DES_INV,FA_IND_INV,FA_SIS_INV,IRR_INV,PFG_INV,GI_CAP_INV,GI_DEI_INV,GI_ICETEX_INV,GI_ICE_INV,GI_MA_INV,GI_MP_INV,GI_OTRAS_INV,GI_PAI_INV,GI_RAI_INV,GI_RIE_INV,GI_TU_INV,GI_TT_INV,GI_SIT_INV,GAM_INV,HAB_MH_INV,HAB_RUR_INV,IPS_INV,LP_INV,OPP_INV,PDP_INV,PE_INV,PP_INV,RESA_INV,UNIDOS_INV,GIV_INV,FASAN_DES_INV,FASAN_SIS_INV,FASAN_IND_INV,NTP_INV,IND1290_INV,AYUHUM_INV,IND418_INV,EN_NNA_INV,GPDE_INV,PI_INV,GI_IRACA_INV,MFA_SIS_INV,MFA_UNI_INV,MFA_DES_INV,LA_INV,MFA_IND_INV,HAB_INV,JEA_INV,DPS_INV,GI_PEE_PER,FA_DES_PER,FA_IND_PER,FA_SIS_PER,MUSICA_PER,GI_CAP_PER,GI_DEI_PER,GI_ICETEX_PER,GI_ICE_PER,GI_MA_PER,GI_MP_PER,GI_OTRAS_PER,GI_PAI_PER,GI_RAI_PER,GI_RIE_PER,GI_SIT_PER,GI_TT_PER,GI_TU_PER,GAM_PER,IPS_PER,LA_PER,PROT_TIER_PER,RETORNO_PER,UNIDOS_PER,GIV_PER,EXPUL_PER,RECEP_PER,FASAN_DES_PER,FASAN_SIS_PER,FASAN_IND_PER,IND418_PER,IND1290_PER,AYU_HUM_PER,ICBF_NN_SIN_EDU_INI_PER,ICBF_GEN_BIENE_PER,ICBF_NNA_PAE_PER,NN_PAI_PER,EN_NNA_PER,GPDE_PER,JEA_REG_PER,MPR_PREOR_PER,MPR_DIS_PER,MPR_COR_PER,MFA_DES_PER,MFA_SIS_PER,MFA_UNI_PER,GI_IRACA_PER,JEA_MAT_PER,JEA_CUP_PER,UNI_COG_PER,MFA_IND_PER,JEA_PER,JEA_ENROL_PER,JEA_PRO_MAT_PER,ACT_PROS_PRO,MUSICA_PRO,DESARRA_PRO,GI_PEE_PRO,GI_CAP_PRO,GI_DEI_PRO,GI_ICETEX_PRO,GI_ICE_PRO,GI_MA_PRO,GI_MP_PRO,GI_OTRAS_PRO,GI_PAI_PRO,GI_RAI_PRO,GI_RIE_PRO,GI_SIT_PRO,GI_TT_PRO,GI_TU_PRO,LA_PRO,OPP_PRO,PROT_TIER_PRO,PP_PRO,GIV_PRO,NTP_PRO,PI_PRO,MPR_COR_PRO,MPR_DIS_PRO,MPR_PREOR_PRO,TOT_INV
2011,NORTE DE SANTANDER,0,813,19843,6,0,220,0,0,0,0,0,0,0,0,0,0,0,1720,431,0,43186,0,1002,3052,67470,10590,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466.379.176,1.489.485.518,0,517.174.831,180.626.023,806.396,2.339.024,0,0,0,0,0,0,0,0,135.577.352,0,0,299.4,1.256.090.138,0,0,0,0,0,0,0,43.003.477,0,0,0,0,0,1.289.636.765,0,0,266.428.147,135.730.878,0,1.734.070.968,6.635.745,38.181.265,0,0,125.393.491,0,0,0,1.758.932.994,0,0,0,0,0,0,0,0,0,643.256.665,0,0,0,0,1200,108,0,0,335,2259,0,0,0,0,0,178,0,0,20189,0,0,47,0,167169,2880,3396,11354,20397,120461,0,0,1413,0,42411,4725,142089,5458,0,400,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,157,8,0,0,10,0,0,2,16,0,0,0,0,0,17,0,0,0,14,59,0,45,0,0,0,0,0,0
2013,CESAR,0,0,20676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,54752,79002,0,9,0,0,1032,0,0,1218,23053,46452,25563,0,71,0,79002,103575,0,0,0,0,202.973.039,1.745.542.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.749.122.408,0,0,0,0,69.215,0,5.881.689.447,31.833,0,693.551.466,0,0,0,21.121.485,10.286.605,12.411.005,0,42.48,0,552.2,4.643.508.545,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236756,0,0,32,0,0,2240,0,1108,27,41622,0,143141,21185,115,0,7579,423,0,0,49013,87708,43682,0,1585,1839,390,183,668,780,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2010,CHOCÓ,0,145,9810,3,0,3,0,0,0,0,0,0,27,0,32,0,0,987,1350,412,22338,0,1405,3345,24483,7570,0,0,0,0,0,0,0,0,0,32,0,0,0,2.442.610.203,27.707.388,0,434.578.244,89.960.005,47.566,29.814,0,0,0,0,0,0,0,17.448,45.160.469,0,35.045.497,0,4.980.861,0,1.284.569.598,476.84,0,0,0,0,0,47.703.295,0,3.789.576,0,0,3.244.519.693,0,27.492.571,397.794.698,382.059.341,0,2.253.040.646,5473.4,16433.19,0,0,92.842.668,0,0,0,0,0,0,0,0,0,0,0,3.789.576,0,3.111.755.159,0,0,0,0,1100,582,0,10,0,9,0,1,300,1325,0,0,0,0,34319,0,330,25,1257,0,2227,4835,11143,15616,49346,0,0,129,0,26618,2370,137531,4836,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,55,7,0,0,30,0,3,0,1,0,28,1,1,0,0,0,0,4,13,33,1,64,0,0,0,0,0,0
2012,CAQUETÁ,0,0,28967,0,0,0,0,1366,0,0,0,807,0,0,0,0,0,0,330,0,24709,0,2014,2581,22260,15629,0,2863,0,702,0,0,0,0,0,0,0,0,0,0,0,0,54.360.678,2.437.153.405,0,0,0,0,2.367.212.995,0,0,0,618,0,314.971.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.354.322,0,269.157.695,0,0,0,133.854.249,0,314.971.857,9.850.325,11.449.175,0,0,2.754.086.338,391.023,1.270.718.804,1.856.164.622,0,0,0,0,0,0,0,0,0,0,2.841.707.715,0,0,0,0,834,495,0,0,3,2193,0,0,0,0,723,0,0,0,10425,272,0,0,0,89740,3414,6849,8783,28154,37537,0,109,4916,345,7298,2469,68853,9237,338,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,6,0,0,17,0,0,3,8,0,0,0,0,1,0,0,0,0,5,0,0,29,0,0,0,0,0,0
2013,VAUPÉS,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,766,0,0,0,0,0,700,0,3,161,436,226,0,0,0,766,848,0,0,0,0,57.638.938,172.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.964.214,1.179,0,0,0,0,0,209.78,74.9,112.835,0,0,0,0,455.153.938,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,1,1,532,400,5485,610,0,0,0,135,0,0,533,916,320,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,HUILA,0,740,13240,5,220,291,0,0,0,0,0,0,3760,0,0,0,0,78,270,0,61453,0,1534,1974,81199,11830,47,0,0,0,0,0,0,0,0,0,0,0,0,411.303.599,35.033.596,376.100.928,408.831.239,12.252.094,4.393.025,2.326.043,0,0,0,0,0,0,0,8.846.256,452.253.279,0,314.151.452,0,929.005.932,0,271.768.857,677.42,0,0,0,0,0,27.090.567,0,0,0,0,2.334.975.195,0,0,27,62.233.169,0,2.644.599.519,8.505.985,54.496.685,31.785,0,2.213.985,0,0,0,0,0,0,0,0,0,0,0,0,0,7.268.449.757,0,0,0,0,1080,501,0,87,0,1699,0,104,426,3382,0,0,0,0,18526,0,0,42,0,0,6199,5536,6973,23226,174382,89,0,267,0,40140,3330,107520,4292,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,22,6,1,0,28,0,13,0,7,0,27,4,2,0,0,0,0,0,8,46,0,81,0,0,0,0,0,0
2013,SUCRE,0,0,19038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,75671,63884,0,39,0,0,0,0,0,1899,32601,36863,23370,0,2020,0,63884,101740,0,0,0,0,349.955.043,154.481.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,259.834.596,0,0,0,0,0,0,2.891.834.922,10.611,0,119.725.092,0,0,0,17113.62,14381.53,11077.68,0,930.25,0,493.8,4.502.966.964,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,324114,0,0,160,0,0,0,0,590,9,46542,0,123941,9506,28,0,7359,505,49,0,44197,70802,61351,0,629,651,540,3782,461,601,87,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
2011,BOGOTÁ  D.C.,0,99,74782,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,20636,0,59,8619,91621,19643,0,0,0,0,0,0,0,0,0,0,0,0,0,6.245.701.638,1.713.033.381,0,537.413.182,717.405.708,0,1.598.606,0,0,0,0,0,0,0,0,165.298.183,0,0,137,368.869.796,799.214.384,0,0,0,0,0,0,1.691.148,0,0,0,0,0,0,0,0,0,4.085.289,0,1.472.073.511,12270.19,48020.27,0,0,3.881.363.411,0,0,0,0,0,0,0,0,0,0,0,0,0,125.165.492,0,0,0,0,1030,175,0,0,137,695,498,0,0,0,0,7,0,0,34009,0,600,2,0,76986,1512,202,33409,35552,156549,0,0,2755,0,111125,4110,198354,18998,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,1450,8,0,0,7,0,0,3,1,1,0,0,0,0,1,0,0,6,0,3,0,13,0,0,0,0,0,0
2012,GUAVIARE,0,0,5724,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,300,0,5079,0,433,522,4286,2552,0,770,0,274,0,0,0,0,0,0,0,0,0,0,0,0,1.858.206,43.446.258,0,0,0,0,0,0,0,0,0,274.584,116.649.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,0,0,0,121.685.681,0,116.649.941,1.549.308,2180.52,0,0,5.875.946.873,124.674,362.684.438,537.569.303,4833.9,0,0,0,0,0,0,0,0,0,1.368.788.422,0,0,0,0,306,138,0,0,0,466,0,0,0,0,0,0,0,0,3399,0,0,0,0,18102,604,1322,1543,4705,7286,0,38,943,11,480,990,16520,1837,96,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0
2012,ARAUCA,0,0,11223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14383,0,526,937,14886,5439,0,2538,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2.154.033,89.347.141,0,0,0,0,0,0,0,0,0,0,150.487.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.487.409,3.255.235,7577.47,0,0,1.618.286.733,1.144.734,1.002.298.866,928.801.366,0,0,0,0,0,0,0,0,0,0,1.119.859.571,0,0,0,0,436,234,0,0,59,0,0,0,0,0,0,0,0,0,3707,0,0,0,0,53740,293,1587,3056,9869,24813,0,100,2913,101,2489,1615,36031,6553,175,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,3,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
